n_cut,rank,signature,count
10000,1,"(0,1,0,0,1)",2124
10000,2,"(0,1,0,0,5)",2102
10000,3,"(0,1,0,0,7)",1678
10000,4,"(1,3,-1,0,5)",1060
10000,5,"(1,3,-1,0,1)",882
10000,6,"(1,3,-1,0,7)",510
10000,7,"(0,2,1,0,5)",212
10000,8,"(0,2,1,1,5)",212
10000,9,"(0,2,1,0,7)",136
10000,10,"(0,2,1,1,7)",136
20000,1,"(0,1,0,0,1)",3622
20000,2,"(0,1,0,0,7)",3058
20000,3,"(0,1,0,0,5)",2102
20000,4,"(1,3,-1,0,1)",1926
20000,5,"(0,0,0,0,1)",1425
20000,6,"(0,0,0,0,7)",1338
20000,7,"(1,3,-1,0,7)",1276
20000,8,"(1,3,-1,0,5)",1060
20000,9,"(0,1,0,0,3)",450
20000,10,"(0,0,0,0,3)",398
50000,1,"(0,1,0,0,1)",7106
50000,2,"(0,1,0,0,7)",5652
50000,3,"(0,0,0,0,1)",4740
50000,4,"(0,1,0,0,3)",4490
50000,5,"(1,3,-1,0,1)",4218
50000,6,"(0,0,0,0,3)",3835
50000,7,"(0,0,0,0,7)",3772
50000,8,"(1,3,-1,0,7)",2570
50000,9,"(1,3,-1,0,3)",2258
50000,10,"(0,1,0,0,5)",2102
75000,1,"(0,1,0,0,1)",9480
75000,2,"(0,1,0,0,3)",9200
75000,3,"(0,0,0,0,3)",7670
75000,4,"(0,0,0,0,1)",6972
75000,5,"(0,1,0,0,7)",6928
75000,6,"(1,3,-1,0,1)",5748
75000,7,"(0,0,0,0,7)",4900
75000,8,"(1,3,-1,0,3)",4436
75000,9,"(1,3,-1,0,7)",3148
75000,10,"(0,1,0,0,5)",2102
100000,1,"(0,1,0,0,3)",13800
100000,2,"(0,0,0,0,3)",12646
100000,3,"(0,1,0,0,1)",11178
100000,4,"(0,0,0,0,1)",9000
100000,5,"(0,1,0,0,7)",7805
100000,6,"(1,3,-1,0,1)",6976
100000,7,"(1,3,-1,0,3)",6854
100000,8,"(0,0,0,0,7)",5908
100000,9,"(1,3,-1,0,7)",3600
100000,10,"(0,1,0,0,5)",2102
150000,1,"(0,0,0,0,3)",25564
150000,2,"(0,1,0,0,3)",21550
150000,3,"(0,1,0,0,1)",13236
150000,4,"(0,0,0,0,1)",12918
150000,5,"(1,3,-1,0,3)",11959
150000,6,"(1,3,-1,0,1)",8932
150000,7,"(0,1,0,0,7)",8854
150000,8,"(0,0,0,0,7)",8104
150000,9,"(0,0,0,0,2)",4540
150000,10,"(1,3,-1,0,7)",4358
500000,1,"(0,0,0,0,3)",129842
500000,2,"(0,1,0,0,3)",70114
500000,3,"(1,3,-1,0,3)",48526
500000,4,"(0,0,0,0,2)",42227
500000,5,"(0,0,0,0,1)",34142
500000,6,"(0,1,0,0,2)",24864
500000,7,"(0,1,0,0,1)",21488
500000,8,"(1,3,-1,0,1)",18338
500000,9,"(0,0,0,0,7)",16308
500000,10,"(0,0,0,0,6)",14096
1000000,1,"(0,0,0,0,3)",283482
1000000,2,"(0,1,0,0,3)",129749
1000000,3,"(0,0,0,0,2)",126498
1000000,4,"(1,3,-1,0,3)",98146
1000000,5,"(0,1,0,0,2)",65034
1000000,6,"(0,0,0,0,1)",57276
1000000,7,"(0,1,0,0,1)",28236
1000000,8,"(1,3,-1,0,1)",27652
1000000,9,"(0,0,0,0,6)",25880
1000000,10,"(0,0,0,0,7)",22428
1500000,1,"(0,0,0,0,3)",443430
1500000,2,"(0,0,0,0,2)",230538
1500000,3,"(0,1,0,0,3)",177932
1500000,4,"(1,3,-1,0,3)",146082
1500000,5,"(0,1,0,0,2)",104350
1500000,6,"(0,0,0,0,1)",77838
1500000,7,"(0,0,0,0,6)",37404
1500000,8,"(1,3,-1,0,1)",35240
1500000,9,"(0,1,0,0,1)",32030
1500000,10,"(1,3,-1,0,2)",30994
1750000,1,"(0,0,0,0,3)",521228
1750000,2,"(0,0,0,0,2)",289479
1750000,3,"(0,1,0,0,3)",199488
1750000,4,"(1,3,-1,0,3)",168808
1750000,5,"(0,1,0,0,2)",125100
1750000,6,"(0,0,0,0,1)",87654
1750000,7,"(0,0,0,0,6)",42750
1750000,8,"(1,3,-1,0,1)",38794
1750000,9,"(1,3,-1,0,2)",38490
1750000,10,"(0,1,0,0,1)",33624
2000000,1,"(0,0,0,0,3)",599386
2000000,2,"(0,0,0,0,2)",350084
2000000,3,"(0,1,0,0,3)",221410
2000000,4,"(1,3,-1,0,3)",191702
2000000,5,"(0,1,0,0,2)",146498
2000000,6,"(0,0,0,0,1)",96470
2000000,7,"(0,0,0,0,6)",47658
2000000,8,"(1,3,-1,0,2)",46116
2000000,9,"(1,3,-1,0,1)",41960
2000000,10,"(0,1,0,0,1)",35086
