epoch_type,n_start,n_end,length
CALM,1221770,1221789,20
CALM,1240670,1240689,20
CALM,1251800,1251819,20
CALM,1270700,1270719,20
CALM,1281830,1281849,20
CALM,1300730,1300749,20
CALM,1311860,1311879,20
CALM,1330760,1330779,20
CALM,1341890,1341909,20
CALM,1360790,1360809,20
CALM,1371920,1371939,20
CALM,1390820,1390839,20
CALM,1401950,1401969,20
CALM,1420850,1420869,20
CALM,1431980,1431999,20
CALM,1450880,1450899,20
CALM,1462010,1462029,20
CALM,1480910,1480929,20
CALM,1492040,1492059,20
CALM,1510940,1510959,20
CALM,1522070,1522089,20
CALM,1540970,1540989,20
CALM,1552100,1552119,20
CALM,1571000,1571019,20
CALM,1582130,1582149,20
CALM,1601030,1601049,20
CALM,1612160,1612179,20
CALM,1631060,1631079,20
CALM,1642190,1642209,20
CALM,1661090,1661109,20
CALM,1672220,1672239,20
CALM,1691120,1691139,20
CALM,1702250,1702269,20
CALM,1721150,1721169,20
CALM,1732280,1732299,20
CALM,1751180,1751199,20
CALM,1762310,1762329,20
CALM,1781210,1781229,20
CALM,1792340,1792359,20
CALM,1811240,1811259,20
CALM,1822370,1822389,20
CALM,1841270,1841289,20
CALM,1852400,1852419,20
CALM,1871300,1871319,20
CALM,1882430,1882449,20
CALM,1901330,1901349,20
CALM,1912460,1912479,20
CALM,1931360,1931379,20
CALM,1942490,1942509,20
CALM,1961390,1961409,20
CALM,1972520,1972539,20
CALM,1991420,1991439,20
NORMAL,7760,7779,20
NORMAL,9440,9459,20
SHOCK_FREE,560,579,20
SHOCK_FREE,590,609,20
SHOCK_FREE,738,765,28
SHOCK_FREE,818,839,22
SHOCK_FREE,872,891,20
SHOCK_FREE,1038,1065,28
SHOCK_FREE,1082,1109,28
SHOCK_FREE,1220,1239,20
SHOCK_FREE,1274,1311,38
SHOCK_FREE,1418,1439,22
SHOCK_FREE,1470,1499,30
SHOCK_FREE,1542,1571,30
SHOCK_FREE,1592,1631,40
SHOCK_FREE,1860,1889,30
SHOCK_FREE,1970,1989,20
SHOCK_FREE,1992,2019,28
SHOCK_FREE,2078,2099,22
SHOCK_FREE,2124,2145,22
SHOCK_FREE,2292,2321,30
SHOCK_FREE,2330,2351,22
SHOCK_FREE,2370,2405,36
SHOCK_FREE,2420,2447,28
SHOCK_FREE,2510,2531,22
SHOCK_FREE,2538,2559,22
SHOCK_FREE,2642,2667,26
SHOCK_FREE,2670,2699,30
SHOCK_FREE,2702,2741,40
SHOCK_FREE,2774,2807,34
SHOCK_FREE,2840,2865,26
SHOCK_FREE,2952,2975,24
SHOCK_FREE,3212,3231,20
SHOCK_FREE,3248,3275,28
SHOCK_FREE,3294,3315,22
SHOCK_FREE,3350,3377,28
SHOCK_FREE,3404,3425,22
SHOCK_FREE,3440,3471,32
SHOCK_FREE,3482,3501,20
SHOCK_FREE,3504,3549,46
SHOCK_FREE,3684,3711,28
SHOCK_FREE,3870,3891,22
SHOCK_FREE,3902,3935,34
SHOCK_FREE,3980,4007,28
SHOCK_FREE,4010,4029,20
SHOCK_FREE,4034,4059,26
SHOCK_FREE,4064,4085,22
SHOCK_FREE,4118,4139,22
SHOCK_FREE,4142,4161,20
SHOCK_FREE,4190,4221,32
SHOCK_FREE,4268,4305,38
SHOCK_FREE,4400,4425,26
SHOCK_FREE,4490,4529,40
SHOCK_FREE,4580,4599,20
SHOCK_FREE,4634,4659,26
SHOCK_FREE,4778,4809,32
SHOCK_FREE,4820,4839,20
SHOCK_FREE,4914,4979,66
SHOCK_FREE,5070,5109,40
SHOCK_FREE,5150,5175,26
SHOCK_FREE,5222,5247,26
SHOCK_FREE,5390,5427,38
SHOCK_FREE,5430,5457,28
SHOCK_FREE,5462,5489,28
SHOCK_FREE,5514,5537,24
SHOCK_FREE,5634,5669,36
SHOCK_FREE,5672,5697,26
SHOCK_FREE,5730,5765,36
SHOCK_FREE,5778,5807,30
SHOCK_FREE,5810,5831,22
SHOCK_FREE,5834,5889,56
SHOCK_FREE,5922,5945,24
SHOCK_FREE,5990,6021,32
SHOCK_FREE,6078,6105,28
SHOCK_FREE,6120,6155,36
SHOCK_FREE,6192,6231,40
SHOCK_FREE,6242,6281,40
SHOCK_FREE,6290,6311,22
SHOCK_FREE,6320,6369,50
SHOCK_FREE,6372,6399,28
SHOCK_FREE,6408,6429,22
SHOCK_FREE,6440,6461,22
SHOCK_FREE,6468,6491,24
SHOCK_FREE,6558,6581,24
SHOCK_FREE,6594,6621,28
SHOCK_FREE,6708,6729,22
SHOCK_FREE,6768,6819,52
SHOCK_FREE,6822,6845,24
SHOCK_FREE,6860,6885,26
SHOCK_FREE,6944,6971,28
SHOCK_FREE,7010,7029,20
SHOCK_FREE,7038,7059,22
SHOCK_FREE,7100,7139,40
SHOCK_FREE,7202,7221,20
SHOCK_FREE,7224,7259,36
SHOCK_FREE,7314,7337,24
