n_cut,rank,signature,count
2000,1,"(0,1,0,0,5)",939
2000,2,"(1,3,-1,0,5)",588
2000,3,"(0,2,1,0,5)",119
2000,4,"(0,2,1,1,5)",119
2000,5,"(0,2,2,0,5)",60
2000,6,"(0,2,2,1,5)",60
2000,7,"(0,1,0,0,1)",36
2000,8,"(0,2,3,0,5)",29
2000,9,"(0,2,3,1,5)",29
2000,10,"(1,3,-1,0,1)",16
5000,1,"(0,1,0,0,5)",1866
5000,2,"(1,3,-1,0,5)",956
5000,3,"(0,1,0,0,1)",569
5000,4,"(0,1,0,0,7)",336
5000,5,"(1,3,-1,0,1)",268
5000,6,"(0,2,1,0,5)",197
5000,7,"(0,2,1,1,5)",197
5000,8,"(1,3,-1,0,7)",112
5000,9,"(0,2,2,0,5)",99
5000,10,"(0,2,2,1,5)",99
10000,1,"(0,1,0,0,1)",2124
10000,2,"(0,1,0,0,5)",2102
10000,3,"(0,1,0,0,7)",1678
10000,4,"(1,3,-1,0,5)",1060
10000,5,"(1,3,-1,0,1)",882
10000,6,"(1,3,-1,0,7)",510
10000,7,"(0,2,1,0,5)",212
10000,8,"(0,2,1,1,5)",212
10000,9,"(0,2,1,0,7)",136
10000,10,"(0,2,1,1,7)",136
15000,1,"(0,1,0,0,1)",2990
15000,2,"(0,1,0,0,7)",2380
15000,3,"(0,1,0,0,5)",2102
15000,4,"(1,3,-1,0,1)",1474
15000,5,"(1,3,-1,0,5)",1060
15000,6,"(1,3,-1,0,7)",908
15000,7,"(0,0,0,0,1)",794
15000,8,"(0,0,0,0,7)",674
15000,9,"(0,2,1,0,7)",234
15000,10,"(0,2,1,1,7)",234
20000,1,"(0,1,0,0,1)",3622
20000,2,"(0,1,0,0,7)",3058
20000,3,"(0,1,0,0,5)",2102
20000,4,"(1,3,-1,0,1)",1926
20000,5,"(0,0,0,0,1)",1424
20000,6,"(0,0,0,0,7)",1338
20000,7,"(1,3,-1,0,7)",1276
20000,8,"(1,3,-1,0,5)",1060
20000,9,"(0,1,0,0,3)",450
20000,10,"(0,0,0,0,3)",398
