belt_type,n_start,n_end,length,threshold,window,need
FRACTURE_BELT_HAT,2,841,840,200000,50,10
FRACTURE_BELT_HAT,850,1291,442,200000,50,10
FRACTURE_BELT_HAT,1294,1445,152,200000,50,10
FRACTURE_BELT_HAT,1468,1577,110,200000,50,10
FRACTURE_BELT_HAT,1602,2005,404,200000,50,10
FRACTURE_BELT_HAT,2008,2297,290,200000,50,10
FRACTURE_BELT_HAT,2314,2375,62,200000,50,10
FRACTURE_BELT_HAT,2440,2647,208,200000,50,10
FRACTURE_BELT_HAT,2724,2791,68,200000,50,10
FRACTURE_BELT_HAT,2824,3325,502,200000,50,10
FRACTURE_BELT_HAT,3354,3449,96,200000,50,10
FRACTURE_BELT_HAT,3550,3635,86,200000,50,10
FRACTURE_BELT_HAT,3700,3829,130,200000,50,10
FRACTURE_BELT_HAT,3924,4009,86,200000,50,10
FRACTURE_BELT_HAT,4134,4229,96,200000,50,10
FRACTURE_BELT_HAT,4282,4477,196,200000,50,10
FRACTURE_BELT_HAT,4524,4625,102,200000,50,10
FRACTURE_BELT_HAT,4660,4757,98,200000,50,10
FRACTURE_BELT_HAT,4798,4915,118,200000,50,10
FRACTURE_BELT_HAT,5014,5077,64,200000,50,10
FRACTURE_BELT_HAT,5094,5407,314,200000,50,10
FRACTURE_BELT_HAT,5512,5657,146,200000,50,10
FRACTURE_BELT_HAT,5728,5815,88,200000,50,10
FRACTURE_BELT_HAT,5862,6011,150,200000,50,10
FRACTURE_BELT_HAT,6138,6209,72,200000,50,10
FRACTURE_BELT_HAT,6388,6557,170,200000,50,10
FRACTURE_BELT_HAT,6618,6671,54,200000,50,10
FRACTURE_BELT_HAT,6718,6779,62,200000,50,10
FRACTURE_BELT_HAT,6844,6937,94,200000,50,10
FRACTURE_BELT_HAT,6988,7037,50,200000,50,10
FRACTURE_BELT_HAT,7044,7129,86,200000,50,10
FRACTURE_BELT_HAT,7132,7217,86,200000,50,10
FRACTURE_BELT_HAT,7242,7327,86,200000,50,10
FRACTURE_BELT_HAT,7330,7427,98,200000,50,10
FRACTURE_BELT_HAT,7734,7849,116,200000,50,10
FRACTURE_BELT_HAT,7942,8051,110,200000,50,10
FRACTURE_BELT_HAT,8104,8179,76,200000,50,10
FRACTURE_BELT_HAT,8430,8521,92,200000,50,10
FRACTURE_BELT_HAT,8602,8659,58,200000,50,10
FRACTURE_BELT_HAT,8878,8951,74,200000,50,10
FRACTURE_BELT_HAT,9034,9119,86,200000,50,10
FRACTURE_BELT_HAT,9130,9215,86,200000,50,10
FRACTURE_BELT_HAT,9252,9319,68,200000,50,10
FRACTURE_BELT_HAT,9544,9641,98,200000,50,10
FRACTURE_BELT_HAT,9682,9731,50,200000,50,10
FRACTURE_BELT_HAT,9910,10067,158,200000,50,10
FRACTURE_BELT_HAT,10180,10277,98,200000,50,10
FRACTURE_BELT_HAT,10362,10411,50,200000,50,10
FRACTURE_BELT_HAT,10498,10609,112,200000,50,10
FRACTURE_BELT_HAT,10770,10855,86,200000,50,10
FRACTURE_BELT_HAT,10912,11069,158,200000,50,10
FRACTURE_BELT_HAT,11260,11329,70,200000,50,10
FRACTURE_BELT_HAT,11338,11405,68,200000,50,10
FRACTURE_BELT_HAT,11532,11687,156,200000,50,10
FRACTURE_BELT_HAT,11724,11777,54,200000,50,10
FRACTURE_BELT_HAT,11850,11905,56,200000,50,10
FRACTURE_BELT_HAT,12120,12175,56,200000,50,10
FRACTURE_BELT_HAT,12702,12779,78,200000,50,10
FRACTURE_BELT_HAT,12802,12887,86,200000,50,10
FRACTURE_BELT_HAT,12982,13069,88,200000,50,10
FRACTURE_BELT_HAT,13164,13247,84,200000,50,10
FRACTURE_BELT_HAT,13252,13309,58,200000,50,10
FRACTURE_BELT_HAT,13540,13637,98,200000,50,10
FRACTURE_BELT_HAT,13798,13865,68,200000,50,10
FRACTURE_BELT_HAT,13938,13987,50,200000,50,10
FRACTURE_BELT_HAT,14080,14177,98,200000,50,10
FRACTURE_BELT_HAT,14190,14401,212,200000,50,10
FRACTURE_BELT_HAT,14428,14519,92,200000,50,10
FRACTURE_BELT_HAT,14670,14729,60,200000,50,10
FRACTURE_BELT_HAT,14824,14941,118,200000,50,10
FRACTURE_BELT_HAT,15130,15181,52,200000,50,10
FRACTURE_BELT_HAT,15202,15257,56,200000,50,10
FRACTURE_BELT_HAT,15508,15601,94,200000,50,10
FRACTURE_BELT_HAT,15672,15725,54,200000,50,10
