epoch_type,n_start,n_end,length
SHOCK_FREE,560,579,20
SHOCK_FREE,590,609,20
SHOCK_FREE,738,765,28
SHOCK_FREE,818,839,22
SHOCK_FREE,872,891,20
SHOCK_FREE,1038,1065,28
SHOCK_FREE,1082,1109,28
SHOCK_FREE,1220,1239,20
SHOCK_FREE,1274,1311,38
SHOCK_FREE,1418,1439,22
SHOCK_FREE,1470,1499,30
SHOCK_FREE,1542,1571,30
SHOCK_FREE,1592,1631,40
SHOCK_FREE,1860,1889,30
SHOCK_FREE,1970,1989,20
SHOCK_FREE,1992,2019,28
SHOCK_FREE,2078,2099,22
SHOCK_FREE,2124,2145,22
SHOCK_FREE,2292,2321,30
SHOCK_FREE,2330,2351,22
SHOCK_FREE,2370,2405,36
SHOCK_FREE,2420,2447,28
SHOCK_FREE,2510,2531,22
SHOCK_FREE,2538,2559,22
SHOCK_FREE,2642,2667,26
SHOCK_FREE,2670,2699,30
SHOCK_FREE,2702,2741,40
SHOCK_FREE,2774,2807,34
SHOCK_FREE,2840,2865,26
SHOCK_FREE,2952,2975,24
SHOCK_FREE,3212,3231,20
SHOCK_FREE,3248,3275,28
SHOCK_FREE,3294,3315,22
SHOCK_FREE,3350,3377,28
SHOCK_FREE,3404,3425,22
SHOCK_FREE,3440,3471,32
SHOCK_FREE,3482,3501,20
SHOCK_FREE,3504,3549,46
SHOCK_FREE,3684,3711,28
SHOCK_FREE,3870,3891,22
SHOCK_FREE,3902,3935,34
SHOCK_FREE,3980,4007,28
SHOCK_FREE,4010,4029,20
SHOCK_FREE,4034,4059,26
SHOCK_FREE,4064,4085,22
SHOCK_FREE,4118,4139,22
SHOCK_FREE,4142,4161,20
SHOCK_FREE,4190,4221,32
SHOCK_FREE,4268,4305,38
SHOCK_FREE,4400,4425,26
SHOCK_FREE,4490,4529,40
SHOCK_FREE,4580,4599,20
SHOCK_FREE,4634,4659,26
SHOCK_FREE,4778,4809,32
SHOCK_FREE,4820,4839,20
SHOCK_FREE,4914,4979,66
SHOCK_FREE,5070,5109,40
SHOCK_FREE,5150,5175,26
SHOCK_FREE,5222,5247,26
SHOCK_FREE,5390,5427,38
SHOCK_FREE,5430,5457,28
SHOCK_FREE,5462,5489,28
SHOCK_FREE,5514,5537,24
SHOCK_FREE,5634,5669,36
SHOCK_FREE,5672,5697,26
SHOCK_FREE,5730,5765,36
SHOCK_FREE,5778,5807,30
SHOCK_FREE,5810,5831,22
SHOCK_FREE,5834,5889,56
SHOCK_FREE,5922,5945,24
SHOCK_FREE,5990,6021,32
SHOCK_FREE,6078,6105,28
SHOCK_FREE,6120,6155,36
SHOCK_FREE,6192,6231,40
SHOCK_FREE,6242,6281,40
SHOCK_FREE,6290,6311,22
SHOCK_FREE,6320,6369,50
SHOCK_FREE,6372,6399,28
SHOCK_FREE,6408,6429,22
SHOCK_FREE,6440,6461,22
SHOCK_FREE,6468,6491,24
SHOCK_FREE,6558,6581,24
SHOCK_FREE,6594,6621,28
SHOCK_FREE,6708,6729,22
SHOCK_FREE,6768,6819,52
SHOCK_FREE,6822,6845,24
SHOCK_FREE,6860,6885,26
SHOCK_FREE,6944,6971,28
SHOCK_FREE,7010,7029,20
SHOCK_FREE,7038,7059,22
SHOCK_FREE,7100,7139,40
SHOCK_FREE,7202,7221,20
SHOCK_FREE,7224,7259,36
SHOCK_FREE,7314,7337,24
SHOCK_FREE,7340,7361,22
SHOCK_FREE,7472,7491,20
SHOCK_FREE,7494,7517,24
SHOCK_FREE,7520,7541,22
SHOCK_FREE,7544,7569,26
SHOCK_FREE,7572,7595,24
SHOCK_FREE,7628,7659,32
SHOCK_FREE,7664,7695,32
SHOCK_FREE,7698,7727,30
SHOCK_FREE,7752,7779,28
SHOCK_FREE,7860,7895,36
SHOCK_FREE,7922,7955,34
SHOCK_FREE,8052,8075,24
SHOCK_FREE,8084,8117,34
SHOCK_FREE,8160,8199,40
SHOCK_FREE,8214,8247,34
SHOCK_FREE,8258,8297,40
SHOCK_FREE,8300,8319,20
SHOCK_FREE,8358,8381,24
SHOCK_FREE,8414,8439,26
SHOCK_FREE,8510,8547,38
SHOCK_FREE,8558,8577,20
SHOCK_FREE,8588,8609,22
SHOCK_FREE,8652,8709,58
SHOCK_FREE,8718,8771,54
SHOCK_FREE,8810,8841,32
SHOCK_FREE,8852,8879,28
SHOCK_FREE,8882,8901,20
SHOCK_FREE,8948,8975,28
SHOCK_FREE,8990,9015,26
SHOCK_FREE,9020,9045,26
SHOCK_FREE,9048,9069,22
SHOCK_FREE,9090,9129,40
SHOCK_FREE,9144,9165,22
SHOCK_FREE,9224,9257,34
SHOCK_FREE,9314,9351,38
SHOCK_FREE,9354,9377,24
SHOCK_FREE,9410,9485,76
SHOCK_FREE,9488,9507,20
SHOCK_FREE,9524,9551,28
SHOCK_FREE,9642,9681,40
SHOCK_FREE,9704,9725,22
SHOCK_FREE,9732,9759,28
SHOCK_FREE,9774,9795,22
SHOCK_FREE,9800,9825,26
SHOCK_FREE,9882,9911,30
SHOCK_FREE,9918,9941,24
SHOCK_FREE,9960,9981,22
SHOCK_FREE,10034,10055,22
SHOCK_FREE,10064,10095,32
SHOCK_FREE,10124,10145,22
SHOCK_FREE,10148,10185,38
SHOCK_FREE,10208,10227,20
SHOCK_FREE,10292,10325,34
SHOCK_FREE,10328,10347,20
SHOCK_FREE,10412,10439,28
SHOCK_FREE,10448,10469,22
SHOCK_FREE,10482,10509,28
SHOCK_FREE,10580,10601,22
SHOCK_FREE,10610,10641,32
SHOCK_FREE,10680,10719,40
SHOCK_FREE,10842,10871,30
SHOCK_FREE,10878,10917,40
SHOCK_FREE,10922,10941,20
SHOCK_FREE,11052,11105,54
SHOCK_FREE,11148,11181,34
SHOCK_FREE,11202,11225,24
SHOCK_FREE,11234,11267,34
SHOCK_FREE,11328,11355,28
SHOCK_FREE,11388,11411,24
SHOCK_FREE,11414,11447,34
SHOCK_FREE,11462,11505,44
SHOCK_FREE,11538,11561,24
SHOCK_FREE,11664,11727,64
SHOCK_FREE,11750,11769,20
SHOCK_FREE,11774,11795,22
SHOCK_FREE,11798,11817,20
SHOCK_FREE,11820,11855,36
SHOCK_FREE,11930,11991,62
SHOCK_FREE,12032,12057,26
