n,U,C,F,O,B
2,1,3,-1,0,5
3,1,3,-1,0,5
4,1,3,-1,0,5
5,1,3,-1,0,5
6,1,3,-1,0,5
7,1,3,-1,0,5
8,0,2,2,1,5
9,0,2,2,0,5
10,1,3,-1,0,5
11,1,3,-1,0,5
12,1,3,-1,0,5
13,1,3,-1,0,5
14,0,2,2,1,5
15,0,2,2,0,5
16,1,3,-1,0,5
17,1,3,-1,0,5
18,1,3,-1,0,5
19,1,3,-1,0,5
20,0,2,1,1,5
21,0,2,1,0,5
22,1,3,-1,0,5
23,1,3,-1,0,5
24,0,2,2,1,5
25,0,2,2,0,5
26,0,2,1,1,5
27,0,2,1,0,5
28,1,3,-1,0,5
29,1,3,-1,0,5
30,1,3,-1,0,5
31,1,3,-1,0,5
32,0,2,1,1,5
33,0,2,1,0,5
34,0,2,2,1,5
35,0,2,2,0,5
36,1,3,-1,0,5
37,1,3,-1,0,5
38,0,2,1,1,5
39,0,2,1,0,5
40,1,3,-1,0,5
41,1,3,-1,0,5
42,1,3,-1,0,5
43,1,3,-1,0,5
44,0,2,1,1,5
45,0,2,1,0,5
46,1,3,-1,0,5
47,1,3,-1,0,5
48,0,2,3,1,5
49,0,2,3,0,5
50,0,1,0,0,5
51,0,1,0,0,5
52,1,3,-1,0,5
53,1,3,-1,0,5
54,0,2,2,1,5
55,0,2,2,0,5
56,0,1,0,0,5
57,0,1,0,0,5
58,1,3,-1,0,5
59,1,3,-1,0,5
60,1,3,-1,0,5
61,1,3,-1,0,5
62,0,1,0,0,5
63,0,1,0,0,5
64,0,2,1,1,5
65,0,2,1,0,5
66,1,3,-1,0,5
67,1,3,-1,0,5
68,0,1,0,0,5
69,0,1,0,0,5
70,1,3,-1,0,5
71,1,3,-1,0,5
72,1,3,-1,0,5
73,1,3,-1,0,5
74,0,1,0,0,5
75,0,1,0,0,5
76,0,2,2,1,5
77,0,2,2,0,5
78,1,3,-1,0,5
79,1,3,-1,0,5
80,0,1,0,0,5
81,0,1,0,0,5
82,1,3,-1,0,5
83,1,3,-1,0,5
84,0,2,1,1,5
85,0,2,1,0,5
86,0,1,0,0,5
87,0,1,0,0,5
88,1,3,-1,0,5
89,1,3,-1,0,5
90,0,2,2,1,5
91,0,2,2,0,5
92,0,1,0,0,5
93,0,1,0,0,5
94,0,2,1,1,5
95,0,2,1,0,5
96,1,3,-1,0,5
97,1,3,-1,0,5
98,0,1,0,0,5
99,0,1,0,0,5
100,1,3,-1,0,5
101,1,3,-1,0,5
102,1,3,-1,0,5
103,1,3,-1,0,5
104,0,1,0,0,5
105,0,1,0,0,5
106,1,3,-1,0,5
107,1,3,-1,0,5
108,1,3,-1,0,5
109,1,3,-1,0,5
110,0,1,0,0,5
111,0,1,0,0,5
112,1,3,-1,0,5
113,1,3,-1,0,5
114,0,2,1,1,5
115,0,2,1,0,5
116,0,1,0,0,5
117,0,1,0,0,5
118,0,2,2,1,5
119,0,2,2,0,5
120,0,2,3,1,5
121,0,2,3,0,5
122,0,1,0,0,5
123,0,1,0,0,5
124,0,2,1,1,5
125,0,2,1,0,5
126,1,3,-1,0,5
127,1,3,-1,0,5
128,0,1,0,0,5
129,0,1,0,0,5
130,1,3,-1,0,5
131,1,3,-1,0,5
132,0,2,2,1,5
133,0,2,2,0,5
134,0,1,0,0,5
135,0,1,0,0,5
136,1,3,-1,0,5
137,1,3,-1,0,5
138,1,3,-1,0,5
139,1,3,-1,0,5
140,0,1,0,0,5
141,0,1,0,0,5
142,0,2,3,1,5
143,0,2,3,0,5
144,0,2,1,1,5
145,0,2,1,0,5
146,0,1,0,0,5
147,0,1,0,0,5
148,1,3,-1,0,5
149,1,3,-1,0,5
150,1,3,-1,0,5
151,1,3,-1,0,5
152,0,1,0,0,5
153,0,1,0,0,5
154,0,2,1,1,5
155,0,2,1,0,5
156,1,3,-1,0,5
157,1,3,-1,0,5
158,0,1,0,0,5
159,0,1,0,0,5
160,0,2,1,1,5
161,0,2,1,0,5
162,1,3,-1,0,5
163,1,3,-1,0,5
164,0,1,0,0,5
165,0,1,0,0,5
166,1,3,-1,0,5
167,1,3,-1,0,5
168,0,2,3,1,5
169,0,2,3,0,5
170,0,1,0,0,5
171,0,1,0,0,5
172,1,3,-1,0,5
173,1,3,-1,0,5
174,0,2,1,1,5
175,0,2,1,0,5
176,0,1,0,0,5
177,0,1,0,0,5
178,1,3,-1,0,5
179,1,3,-1,0,5
180,1,3,-1,0,5
181,1,3,-1,0,5
182,0,1,0,0,5
183,0,1,0,0,5
184,0,2,1,1,5
185,0,2,1,0,5
186,0,2,2,1,5
187,0,2,2,0,5
188,0,1,0,0,5
189,0,1,0,0,5
190,1,3,-1,0,5
191,1,3,-1,0,5
192,1,3,-1,0,5
193,1,3,-1,0,5
194,0,1,0,0,5
195,0,1,0,0,5
196,1,3,-1,0,5
197,1,3,-1,0,5
198,1,3,-1,0,5
199,1,3,-1,0,5
200,0,1,0,0,5
201,0,1,0,0,5
202,0,2,1,1,5
203,0,2,1,0,5
204,0,2,1,1,5
205,0,2,1,0,5
206,0,1,0,0,5
207,0,1,0,0,5
208,0,2,2,1,5
209,0,2,2,0,5
210,1,3,-1,0,5
211,1,3,-1,0,5
212,0,1,0,0,5
213,0,1,0,0,5
214,0,2,1,1,5
215,0,2,1,0,5
216,0,2,1,1,5
217,0,2,1,0,5
218,0,1,0,0,5
219,0,1,0,0,5
220,0,2,3,1,5
221,0,2,3,0,5
222,1,3,-1,0,5
223,1,3,-1,0,5
224,0,1,0,0,5
225,0,1,0,0,5
226,1,3,-1,0,5
227,1,3,-1,0,5
228,1,3,-1,0,5
229,1,3,-1,0,5
230,0,1,0,0,5
231,0,1,0,0,5
232,1,3,-1,0,5
233,1,3,-1,0,5
234,0,2,1,1,5
235,0,2,1,0,5
236,0,1,0,0,5
237,0,1,0,0,5
238,1,3,-1,0,5
239,1,3,-1,0,5
240,1,3,-1,0,5
241,1,3,-1,0,5
242,0,1,0,0,5
243,0,1,0,0,5
244,0,2,1,1,5
245,0,2,1,0,5
246,0,2,2,1,5
247,0,2,2,0,5
248,0,1,0,0,5
249,0,1,0,0,5
250,1,3,-1,0,5
251,1,3,-1,0,5
252,0,2,2,1,5
253,0,2,2,0,5
254,0,1,0,0,5
255,0,1,0,0,5
256,1,3,-1,0,5
257,1,3,-1,0,5
258,0,2,1,1,5
259,0,2,1,0,5
260,0,1,0,0,5
261,0,1,0,0,5
262,1,3,-1,0,5
263,1,3,-1,0,5
264,0,2,1,1,5
265,0,2,1,0,5
266,0,1,0,0,5
267,0,1,0,0,5
268,1,3,-1,0,5
269,1,3,-1,0,5
270,1,3,-1,0,5
271,1,3,-1,0,5
272,0,1,0,0,5
273,0,1,0,0,5
274,0,2,1,1,5
275,0,2,1,0,5
276,1,3,-1,0,5
277,1,3,-1,0,5
278,0,1,0,0,5
279,0,1,0,0,5
280,1,3,-1,0,5
281,1,3,-1,0,5
282,1,3,-1,0,5
283,1,3,-1,0,5
284,0,1,0,0,5
285,0,1,0,0,5
286,0,2,1,1,5
287,0,2,1,0,5
288,0,2,3,1,5
289,0,2,3,0,5
290,0,1,0,0,5
291,0,1,0,0,5
292,1,3,-1,0,5
293,1,3,-1,0,5
294,0,1,0,0,5
295,0,1,0,0,5
296,0,1,0,0,5
297,0,1,0,0,5
298,0,2,2,1,5
299,0,2,2,0,5
300,0,2,1,1,5
301,0,2,1,0,5
302,0,1,0,0,5
303,0,1,0,0,5
304,0,1,0,0,5
305,0,1,0,0,5
306,1,3,-1,0,5
307,1,3,-1,0,5
308,0,1,0,0,5
309,0,1,0,0,5
310,1,3,-1,0,5
311,1,3,-1,0,5
312,1,3,-1,0,5
313,1,3,-1,0,5
314,0,1,0,0,5
315,0,1,0,0,5
316,1,3,-1,0,5
317,1,3,-1,0,5
318,0,2,2,1,5
319,0,2,2,0,5
320,0,1,0,0,5
321,0,1,0,0,5
322,0,2,3,1,5
323,0,2,3,0,5
324,0,1,0,0,5
325,0,1,0,0,5
326,0,1,0,0,5
327,0,1,0,0,5
328,0,2,1,1,5
329,0,2,1,0,5
330,1,3,-1,0,5
331,1,3,-1,0,5
332,0,1,0,0,5
333,0,1,0,0,5
334,0,1,0,0,5
335,0,1,0,0,5
336,1,3,-1,0,5
337,1,3,-1,0,5
338,0,1,0,0,5
339,0,1,0,0,5
340,0,2,2,1,5
341,0,2,2,0,5
342,0,2,1,1,5
343,0,2,1,0,5
344,0,1,0,0,5
345,0,1,0,0,5
346,1,3,-1,0,5
347,1,3,-1,0,5
348,1,3,-1,0,5
349,1,3,-1,0,5
350,0,1,0,0,5
351,0,1,0,0,5
352,1,3,-1,0,5
353,1,3,-1,0,5
354,0,1,0,0,5
355,0,1,0,0,5
356,0,1,0,0,5
