n,n_next,t_hat_1e6_n,t_hat_1e6_next,delta_t_hat_1e6,abs_delta_t_hat_1e6,fracture_threshold_1e6,fracture_class
8,9,0,500000,500000,500000,200000,STRONG
9,10,500000,0,-500000,500000,200000,STRONG
14,15,0,500000,500000,500000,200000,STRONG
15,16,500000,0,-500000,500000,200000,STRONG
20,21,0,333333,333333,333333,200000,MODERATE
21,22,333333,0,-333333,333333,200000,MODERATE
24,25,0,750000,750000,750000,200000,STRONG
25,26,750000,0,-750000,750000,200000,STRONG
26,27,0,250000,250000,250000,200000,MODERATE
27,28,250000,0,-250000,250000,200000,MODERATE
32,33,0,250000,250000,250000,200000,MODERATE
33,34,250000,0,-250000,250000,200000,MODERATE
34,35,0,750000,750000,750000,200000,STRONG
35,36,750000,0,-750000,750000,200000,STRONG
38,39,0,200000,200000,200000,200000,MODERATE
39,40,200000,0,-200000,200000,200000,MODERATE
44,45,0,200000,200000,200000,200000,MODERATE
45,46,200000,0,-200000,200000,200000,MODERATE
48,49,0,833333,833333,833333,200000,EXTREME
49,50,833333,0,-833333,833333,200000,EXTREME
54,55,0,500000,500000,500000,200000,STRONG
55,56,500000,0,-500000,500000,200000,STRONG
64,65,0,428571,428571,428571,200000,MODERATE
65,66,428571,0,-428571,428571,200000,MODERATE
76,77,0,714285,714285,714285,200000,STRONG
77,78,714285,0,-714285,714285,200000,STRONG
84,85,0,375000,375000,375000,200000,MODERATE
85,86,375000,0,-375000,375000,200000,MODERATE
90,91,0,625000,625000,625000,200000,STRONG
91,92,625000,0,-625000,625000,200000,STRONG
94,95,0,375000,375000,375000,200000,MODERATE
95,96,375000,0,-375000,375000,200000,MODERATE
114,115,0,333333,333333,333333,200000,MODERATE
115,116,333333,0,-333333,333333,200000,MODERATE
118,119,0,555555,555555,555555,200000,STRONG
119,120,555555,0,-555555,555555,200000,STRONG
120,121,0,900000,900000,900000,200000,EXTREME
121,122,900000,0,-900000,900000,200000,EXTREME
124,125,0,300000,300000,300000,200000,MODERATE
125,126,300000,0,-300000,300000,200000,MODERATE
132,133,0,500000,500000,500000,200000,STRONG
133,134,500000,0,-500000,500000,200000,STRONG
142,143,0,900000,900000,900000,200000,EXTREME
143,144,900000,0,-900000,900000,200000,EXTREME
144,145,0,272727,272727,272727,200000,MODERATE
145,146,272727,0,-272727,272727,200000,MODERATE
154,155,0,272727,272727,272727,200000,MODERATE
155,156,272727,0,-272727,272727,200000,MODERATE
160,161,0,454545,454545,454545,200000,MODERATE
161,162,454545,0,-454545,454545,200000,MODERATE
168,169,0,916666,916666,916666,200000,EXTREME
169,170,916666,0,-916666,916666,200000,EXTREME
174,175,0,250000,250000,250000,200000,MODERATE
