n,n_next,t_hat_1e6_n,t_hat_1e6_next,delta_t_hat_1e6,abs_delta_t_hat_1e6,corridor_label
2,3,,,,,UNDEFINED
3,4,,0,,,UNDEFINED
4,5,0,,,,UNDEFINED
5,6,,0,,,UNDEFINED
6,7,0,,,,UNDEFINED
7,8,,0,,,UNDEFINED
8,9,0,500000,500000,500000,SHOCK
9,10,500000,0,-500000,500000,SHOCK
10,11,0,,,,UNDEFINED
11,12,,0,,,UNDEFINED
12,13,0,,,,UNDEFINED
13,14,,0,,,UNDEFINED
14,15,0,500000,500000,500000,SHOCK
15,16,500000,0,-500000,500000,SHOCK
16,17,0,,,,UNDEFINED
17,18,,0,,,UNDEFINED
18,19,0,,,,UNDEFINED
19,20,,0,,,UNDEFINED
20,21,0,333333,333333,333333,SHOCK
21,22,333333,0,-333333,333333,SHOCK
22,23,0,,,,UNDEFINED
23,24,,0,,,UNDEFINED
24,25,0,750000,750000,750000,SHOCK
25,26,750000,0,-750000,750000,SHOCK
26,27,0,250000,250000,250000,SHOCK
27,28,250000,0,-250000,250000,SHOCK
28,29,0,,,,UNDEFINED
29,30,,0,,,UNDEFINED
30,31,0,,,,UNDEFINED
31,32,,0,,,UNDEFINED
32,33,0,250000,250000,250000,SHOCK
33,34,250000,0,-250000,250000,SHOCK
34,35,0,750000,750000,750000,SHOCK
35,36,750000,0,-750000,750000,SHOCK
36,37,0,,,,UNDEFINED
37,38,,0,,,UNDEFINED
38,39,0,200000,200000,200000,SHOCK
39,40,200000,0,-200000,200000,SHOCK
40,41,0,,,,UNDEFINED
41,42,,0,,,UNDEFINED
42,43,0,,,,UNDEFINED
43,44,,0,,,UNDEFINED
44,45,0,200000,200000,200000,SHOCK
45,46,200000,0,-200000,200000,SHOCK
46,47,0,,,,UNDEFINED
47,48,,0,,,UNDEFINED
48,49,0,833333,833333,833333,SHOCK
49,50,833333,0,-833333,833333,SHOCK
50,51,0,166666,166666,166666,NORMAL
51,52,166666,0,-166666,166666,NORMAL
52,53,0,,,,UNDEFINED
53,54,,0,,,UNDEFINED
54,55,0,500000,500000,500000,SHOCK
55,56,500000,0,-500000,500000,SHOCK
56,57,0,166666,166666,166666,NORMAL
57,58,166666,0,-166666,166666,NORMAL
58,59,0,,,,UNDEFINED
59,60,,0,,,UNDEFINED
60,61,0,,,,UNDEFINED
61,62,,0,,,UNDEFINED
62,63,0,166666,166666,166666,NORMAL
63,64,166666,0,-166666,166666,NORMAL
64,65,0,428571,428571,428571,SHOCK
65,66,428571,0,-428571,428571,SHOCK
66,67,0,,,,UNDEFINED
67,68,,0,,,UNDEFINED
68,69,0,142857,142857,142857,NORMAL
69,70,142857,0,-142857,142857,NORMAL
70,71,0,,,,UNDEFINED
71,72,,0,,,UNDEFINED
72,73,0,,,,UNDEFINED
73,74,,0,,,UNDEFINED
74,75,0,142857,142857,142857,NORMAL
75,76,142857,0,-142857,142857,NORMAL
76,77,0,714285,714285,714285,SHOCK
77,78,714285,0,-714285,714285,SHOCK
78,79,0,,,,UNDEFINED
79,80,,0,,,UNDEFINED
80,81,0,125000,125000,125000,NORMAL
81,82,125000,0,-125000,125000,NORMAL
82,83,0,,,,UNDEFINED
83,84,,0,,,UNDEFINED
84,85,0,375000,375000,375000,SHOCK
85,86,375000,0,-375000,375000,SHOCK
86,87,0,125000,125000,125000,NORMAL
87,88,125000,0,-125000,125000,NORMAL
88,89,0,,,,UNDEFINED
89,90,,0,,,UNDEFINED
90,91,0,625000,625000,625000,SHOCK
91,92,625000,0,-625000,625000,SHOCK
92,93,0,125000,125000,125000,NORMAL
93,94,125000,0,-125000,125000,NORMAL
94,95,0,375000,375000,375000,SHOCK
95,96,375000,0,-375000,375000,SHOCK
96,97,0,,,,UNDEFINED
97,98,,0,,,UNDEFINED
98,99,0,125000,125000,125000,NORMAL
99,100,125000,0,-125000,125000,NORMAL
100,101,0,,,,UNDEFINED
101,102,,0,,,UNDEFINED
102,103,0,,,,UNDEFINED
103,104,,0,,,UNDEFINED
104,105,0,111111,111111,111111,NORMAL
105,106,111111,0,-111111,111111,NORMAL
106,107,0,,,,UNDEFINED
107,108,,0,,,UNDEFINED
108,109,0,,,,UNDEFINED
109,110,,0,,,UNDEFINED
110,111,0,111111,111111,111111,NORMAL
111,112,111111,0,-111111,111111,NORMAL
112,113,0,,,,UNDEFINED
113,114,,0,,,UNDEFINED
114,115,0,333333,333333,333333,SHOCK
115,116,333333,0,-333333,333333,SHOCK
116,117,0,111111,111111,111111,NORMAL
117,118,111111,0,-111111,111111,NORMAL
118,119,0,555555,555555,555555,SHOCK
119,120,555555,0,-555555,555555,SHOCK
120,121,0,900000,900000,900000,SHOCK
121,122,900000,0,-900000,900000,SHOCK
122,123,0,100000,100000,100000,NORMAL
123,124,100000,0,-100000,100000,NORMAL
124,125,0,300000,300000,300000,SHOCK
125,126,300000,0,-300000,300000,SHOCK
126,127,0,,,,UNDEFINED
127,128,,0,,,UNDEFINED
128,129,0,100000,100000,100000,NORMAL
129,130,100000,0,-100000,100000,NORMAL
130,131,0,,,,UNDEFINED
131,132,,0,,,UNDEFINED
132,133,0,500000,500000,500000,SHOCK
133,134,500000,0,-500000,500000,SHOCK
134,135,0,100000,100000,100000,NORMAL
135,136,100000,0,-100000,100000,NORMAL
136,137,0,,,,UNDEFINED
137,138,,0,,,UNDEFINED
138,139,0,,,,UNDEFINED
139,140,,0,,,UNDEFINED
140,141,0,100000,100000,100000,NORMAL
141,142,100000,0,-100000,100000,NORMAL
142,143,0,900000,900000,900000,SHOCK
143,144,900000,0,-900000,900000,SHOCK
144,145,0,272727,272727,272727,SHOCK
145,146,272727,0,-272727,272727,SHOCK
146,147,0,90909,90909,90909,NORMAL
147,148,90909,0,-90909,90909,NORMAL
148,149,0,,,,UNDEFINED
149,150,,0,,,UNDEFINED
150,151,0,,,,UNDEFINED
151,152,,0,,,UNDEFINED
152,153,0,90909,90909,90909,NORMAL
153,154,90909,0,-90909,90909,NORMAL
154,155,0,272727,272727,272727,SHOCK
155,156,272727,0,-272727,272727,SHOCK
156,157,0,,,,UNDEFINED
157,158,,0,,,UNDEFINED
158,159,0,90909,90909,90909,NORMAL
159,160,90909,0,-90909,90909,NORMAL
160,161,0,454545,454545,454545,SHOCK
161,162,454545,0,-454545,454545,SHOCK
162,163,0,,,,UNDEFINED
163,164,,0,,,UNDEFINED
164,165,0,90909,90909,90909,NORMAL
165,166,90909,0,-90909,90909,NORMAL
166,167,0,,,,UNDEFINED
167,168,,0,,,UNDEFINED
168,169,0,916666,916666,916666,SHOCK
169,170,916666,0,-916666,916666,SHOCK
170,171,0,83333,83333,83333,NORMAL
171,172,83333,0,-83333,83333,NORMAL
172,173,0,,,,UNDEFINED
173,174,,0,,,UNDEFINED
174,175,0,250000,250000,250000,SHOCK
175,176,250000,0,-250000,250000,SHOCK
176,177,0,83333,83333,83333,NORMAL
177,178,83333,0,-83333,83333,NORMAL
178,179,0,,,,UNDEFINED
179,180,,0,,,UNDEFINED
180,181,0,,,,UNDEFINED
181,182,,0,,,UNDEFINED
182,183,0,83333,83333,83333,NORMAL
183,184,83333,0,-83333,83333,NORMAL
184,185,0,250000,250000,250000,SHOCK
185,186,250000,0,-250000,250000,SHOCK
186,187,0,750000,750000,750000,SHOCK
187,188,750000,0,-750000,750000,SHOCK
188,189,0,83333,83333,83333,NORMAL
189,190,83333,0,-83333,83333,NORMAL
190,191,0,,,,UNDEFINED
191,192,,0,,,UNDEFINED
192,193,0,,,,UNDEFINED
193,194,,0,,,UNDEFINED
194,195,0,83333,83333,83333,NORMAL
195,196,83333,0,-83333,83333,NORMAL
